S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,S27,S28,S29,S30,S31,S32,MSx,MSy,MSz,MEx,MEy,MEz,MWx,MWy,MWz,session_time_stamp
18,3,60,45,87,3,119,40,10,10,1,0,0,8,0,1,7,0,3,0,0,15,1,3,1,0,5,5,0,13,0,1,-0.179581299424171,-0.209425777196884,0.700495779514313,0.0895864143967629,-0.115074932575226,0.379750192165375,0.321959763765335,-0.169935375452042,0.231967985630035,02_Jan_2025_10_32
12,0,56,45,83,0,120,39,12,16,0,7,1,4,0,0,4,5,2,0,1,12,1,3,0,1,1,5,0,1,1,1,-0.179875835776329,-0.209731414914131,0.700593233108521,0.0885986015200615,-0.113240480422974,0.379963397979736,0.320630937814713,-0.166597038507462,0.232433959841728,02_Jan_2025_10_32
15,0,54,47,80,7,117,34,9,7,1,2,3,0,0,0,3,0,1,1,1,8,3,4,4,0,0,5,5,0,3,1,-0.180336266756058,-0.210158333182335,0.700751185417175,0.0870284661650658,-0.110483273863792,0.380391031503677,0.320086002349854,-0.160370141267777,0.232002854347229,02_Jan_2025_10_32
19,3,59,38,87,0,124,39,12,11,0,2,1,3,0,0,2,0,1,0,2,8,3,6,3,0,0,4,6,2,0,3,-0.180645391345024,-0.210441589355469,0.700851976871491,0.086021676659584,-0.108654946088791,0.380668848752975,0.319401323795319,-0.15653420984745,0.232068866491318,02_Jan_2025_10_32
16,7,61,45,88,0,112,40,8,11,0,0,2,0,0,1,6,0,0,0,3,8,1,4,0,6,1,5,0,3,0,0,-0.180952444672585,-0.210722073912621,0.700939059257507,0.0850020572543144,-0.106827825307846,0.380965411663055,0.318529069423676,-0.152651607990265,0.231973588466644,02_Jan_2025_10_32
12,0,57,43,81,3,121,35,12,7,3,3,0,3,0,0,9,0,0,11,1,11,1,8,0,0,0,4,3,1,9,1,-0.181409284472466,-0.211129769682884,0.701058149337769,0.0834335535764694,-0.10409639775753,0.381438463926315,0.317284137010574,-0.146795615553856,0.231948688626289,02_Jan_2025_10_32
17,2,54,43,84,1,118,38,11,11,0,2,0,0,0,0,4,3,0,0,0,13,8,5,1,1,1,4,1,1,0,1,-0.181716650724411,-0.211405351758003,0.701136708259583,0.0822849795222282,-0.102269366383553,0.38179138302803,0.316271841526031,-0.14288341999054,0.232038572430611,02_Jan_2025_10_32
17,6,60,36,88,1,121,38,11,11,3,0,0,0,0,2,4,5,0,4,0,15,1,5,0,0,0,7,3,0,1,1,-0.182169169187546,-0.211857721209526,0.701278924942017,0.080612801015377,-0.0995012298226357,0.382198750972748,0.314942330121994,-0.137019261717796,0.232059955596924,02_Jan_2025_10_32
21,1,61,40,86,1,118,37,12,11,7,0,0,0,0,0,5,0,1,0,0,11,3,4,2,1,3,2,1,0,1,2,-0.182469472289085,-0.212167948484421,0.701381504535675,0.0794855579733849,-0.0976986214518547,0.382485628128052,0.313665121793747,-0.133009925484657,0.231992676854134,02_Jan_2025_10_32
14,0,62,40,85,1,115,38,10,9,2,0,0,3,0,0,4,3,1,7,0,10,0,4,1,0,0,6,0,0,0,0,-0.182930782437325,-0.21265110373497,0.701555371284485,0.0776954218745232,-0.0949304476380348,0.382852703332901,0.312017858028412,-0.127091750502586,0.232125252485275,02_Jan_2025_10_32
17,5,63,41,85,1,119,37,13,11,3,0,4,3,0,2,5,3,0,1,0,11,0,1,1,3,1,2,1,0,1,0,-0.183249443769455,-0.213036686182022,0.701703906059265,0.0764501392841339,-0.0930699929594994,0.383079797029495,0.310807347297668,-0.123088896274567,0.23210009932518,02_Jan_2025_10_32
22,9,57,35,80,0,115,41,10,14,1,0,4,0,0,2,4,6,1,0,0,11,1,4,1,0,0,5,1,3,0,1,-0.183733552694321,-0.213715970516205,0.701988458633423,0.0745035037398338,-0.0903119519352913,0.383459895849228,0.308901339769363,-0.117101930081844,0.232121750712395,02_Jan_2025_10_32
