S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,S27,S28,S29,S30,S31,S32,MSx,MSy,MSz,MEx,MEy,MEz,MWx,MWy,MWz,session_time_stamp
37,2,75,31,139,1,160,3,6,6,0,1,0,1,0,0,5,0,0,0,0,0,3,0,0,0,3,0,0,0,3,1,-0.207081973552704,-0.311050623655319,0.731193959712982,0.15609310567379,-0.223188489675522,0.674986481666565,0.401182591915131,-0.349299401044846,0.702290058135986,02_Jan_2025_10_24
42,1,73,34,137,0,169,4,5,7,0,0,7,3,0,0,2,3,0,0,1,2,0,1,1,0,1,1,0,1,3,0,-0.207081973552704,-0.311050623655319,0.731193959712982,0.15609310567379,-0.223188489675522,0.674986481666565,0.401182591915131,-0.349299401044846,0.702290058135986,02_Jan_2025_10_24
37,2,79,32,140,0,168,5,3,7,1,0,1,2,0,1,13,2,0,1,2,0,0,2,1,1,1,1,1,1,1,1,-0.207081973552704,-0.311050623655319,0.731193959712982,0.15609310567379,-0.223188489675522,0.674986481666565,0.401182591915131,-0.349299401044846,0.702290058135986,02_Jan_2025_10_24
35,2,77,32,140,0,160,6,2,5,9,1,1,0,0,0,0,1,4,1,2,0,2,1,1,1,3,0,0,1,1,1,-0.207081973552704,-0.311050623655319,0.731193959712982,0.15609310567379,-0.223188489675522,0.674986481666565,0.401182591915131,-0.349299401044846,0.702290058135986,02_Jan_2025_10_24
38,0,81,35,137,0,162,7,5,9,2,0,9,2,0,0,6,0,0,1,2,0,0,0,0,0,0,0,0,0,0,3,-0.207081973552704,-0.311050623655319,0.731193959712982,0.15609310567379,-0.223188489675522,0.674986481666565,0.401182591915131,-0.349299401044846,0.702290058135986,02_Jan_2025_10_24
39,0,81,36,134,0,165,6,4,9,0,1,2,8,0,1,2,0,0,2,0,1,3,0,0,3,1,4,0,0,0,0,-0.207081973552704,-0.311050623655319,0.731193959712982,0.15609310567379,-0.223188489675522,0.674986481666565,0.401182591915131,-0.349299401044846,0.702290058135986,02_Jan_2025_10_24
32,4,79,34,141,0,158,5,6,3,0,0,1,2,0,2,3,3,0,1,3,6,5,0,1,3,0,10,3,0,0,11,-0.207081973552704,-0.311050623655319,0.731193959712982,0.15609310567379,-0.223188489675522,0.674986481666565,0.401182591915131,-0.349299401044846,0.702290058135986,02_Jan_2025_10_24
34,1,81,33,139,1,162,5,0,2,0,2,0,0,0,4,5,0,0,4,0,0,1,0,0,0,1,1,0,0,2,0,-0.207081973552704,-0.311050623655319,0.731193959712982,0.15609310567379,-0.223188489675522,0.674986481666565,0.401182591915131,-0.349299401044846,0.702290058135986,02_Jan_2025_10_24
36,0,73,30,142,0,165,3,9,4,0,0,1,2,0,0,8,2,1,2,1,6,0,0,0,3,0,4,1,2,0,0,-0.207081973552704,-0.311050623655319,0.731193959712982,0.15609310567379,-0.223188489675522,0.674986481666565,0.401182591915131,-0.349299401044846,0.702290058135986,02_Jan_2025_10_24
37,1,76,32,141,3,165,7,8,5,0,2,8,2,0,9,0,1,3,0,1,0,1,0,2,2,0,0,0,0,2,3,-0.207058191299438,-0.311056226491928,0.731194913387299,0.1561119556427,-0.223162114620209,0.674978673458099,0.401193082332611,-0.349284172058105,0.70229172706604,02_Jan_2025_10_24
39,0,79,33,141,1,163,7,5,1,3,0,1,3,0,0,6,0,0,4,0,2,0,0,0,0,0,0,0,3,0,0,-0.207058191299438,-0.311056226491928,0.731194913387299,0.1561119556427,-0.223162114620209,0.674978673458099,0.401193082332611,-0.349284172058105,0.70229172706604,02_Jan_2025_10_24
34,1,80,36,140,1,163,4,5,5,1,0,0,1,0,1,5,0,1,1,1,3,5,5,0,0,2,0,0,0,0,1,-0.207058191299438,-0.311056226491928,0.731194913387299,0.1561119556427,-0.223162114620209,0.674978673458099,0.401193082332611,-0.349284172058105,0.70229172706604,02_Jan_2025_10_24
36,0,76,37,139,0,163,5,3,6,1,0,3,1,0,1,4,3,0,2,1,3,1,3,2,0,1,1,1,0,1,1,-0.207058191299438,-0.311056226491928,0.731194913387299,0.1561119556427,-0.223162114620209,0.674978673458099,0.401193082332611,-0.349284172058105,0.70229172706604,02_Jan_2025_10_24
40,1,80,37,139,0,167,6,5,3,3,2,0,5,0,0,6,0,0,0,0,1,3,0,0,0,0,0,1,0,3,5,-0.207058191299438,-0.311056226491928,0.731194913387299,0.1561119556427,-0.223162114620209,0.674978673458099,0.401193082332611,-0.349284172058105,0.70229172706604,02_Jan_2025_10_24
33,0,79,34,139,2,168,8,6,5,0,0,4,0,0,1,7,0,1,1,1,1,1,1,0,1,0,1,2,0,0,2,-0.207058191299438,-0.311056226491928,0.731194913387299,0.1561119556427,-0.223162114620209,0.674978673458099,0.401193082332611,-0.349284172058105,0.70229172706604,02_Jan_2025_10_24
