S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,S27,S28,S29,S30,S31,S32,MSx,MSy,MSz,MEx,MEy,MEz,MWx,MWy,MWz,session_time_stamp
57,5,141,7,99,0,142,0,5,5,0,1,0,24,0,0,1,0,8,0,1,0,1,0,1,6,9,0,1,0,0,0,-0.22563225030899,-0.326418608427048,0.708342552185059,-0.0667103156447411,-0.116153433918953,0.366750359535217,0.0725549310445786,-0.0680275335907936,0.16191890835762,06_Jan_2025_11_48
57,2,143,5,103,0,141,7,8,3,0,3,1,21,0,0,2,1,8,3,0,1,0,0,0,4,0,0,1,5,0,1,-0.22563225030899,-0.326418608427048,0.708342552185059,-0.0667103156447411,-0.116153433918953,0.366750359535217,0.0725549310445786,-0.0680275335907936,0.16191890835762,06_Jan_2025_11_48
56,2,139,3,105,0,143,0,5,4,0,2,0,20,0,0,1,2,9,1,1,0,0,0,6,0,0,0,3,0,0,6,-0.225622147321701,-0.326422274112701,0.70834755897522,-0.0667176991701126,-0.116158112883568,0.366747677326202,0.0725496709346771,-0.0680324658751488,0.161918461322784,06_Jan_2025_11_48
57,1,139,8,104,1,139,0,5,2,1,0,9,21,0,0,0,0,7,0,1,0,1,0,1,0,0,1,1,1,1,0,-0.225622147321701,-0.326422274112701,0.70834755897522,-0.0667176991701126,-0.116158112883568,0.366747677326202,0.0725496709346771,-0.0680324658751488,0.161918461322784,06_Jan_2025_11_48
56,2,140,7,103,1,142,1,4,2,0,1,0,21,0,0,0,1,5,0,0,1,0,0,0,0,1,2,2,0,0,0,-0.225622147321701,-0.326422274112701,0.70834755897522,-0.0667176991701126,-0.116158112883568,0.366747677326202,0.0725496709346771,-0.0680324658751488,0.161918461322784,06_Jan_2025_11_48
56,1,140,5,107,0,144,2,5,1,0,7,0,22,0,0,5,1,7,7,0,0,0,1,0,1,0,1,2,0,1,0,-0.225622147321701,-0.326422274112701,0.70834755897522,-0.0667176991701126,-0.116158112883568,0.366747677326202,0.0725496709346771,-0.0680324658751488,0.161918461322784,06_Jan_2025_11_48
57,1,137,11,104,0,140,2,8,3,0,0,0,21,0,4,0,2,8,4,0,1,0,1,0,0,1,0,2,0,0,0,-0.225622147321701,-0.326422274112701,0.70834755897522,-0.0667176991701126,-0.116158112883568,0.366747677326202,0.0725496709346771,-0.0680324658751488,0.161918461322784,06_Jan_2025_11_48
60,0,140,6,106,2,141,1,5,4,0,1,0,21,0,0,1,1,8,3,0,1,0,0,2,0,0,0,1,1,0,0,-0.225622147321701,-0.326422274112701,0.70834755897522,-0.0667176991701126,-0.116158112883568,0.366747677326202,0.0725496709346771,-0.0680324658751488,0.161918461322784,06_Jan_2025_11_48
53,1,141,9,103,1,140,0,4,3,3,0,0,24,0,0,0,0,10,3,0,3,0,1,1,0,0,1,1,0,0,6,-0.225622147321701,-0.326422274112701,0.70834755897522,-0.0667176991701126,-0.116158112883568,0.366747677326202,0.0725496709346771,-0.0680324658751488,0.161918461322784,06_Jan_2025_11_48
58,2,143,9,106,1,143,1,4,2,0,1,1,17,0,0,1,0,9,1,0,2,0,0,1,0,0,2,1,0,1,0,-0.225622147321701,-0.326422274112701,0.70834755897522,-0.0667176991701126,-0.116158112883568,0.366747677326202,0.0725496709346771,-0.0680324658751488,0.161918461322784,06_Jan_2025_11_48
58,1,141,5,102,0,139,0,4,3,1,2,0,22,0,0,0,1,9,1,0,1,0,0,0,0,1,0,2,1,0,0,-0.225622147321701,-0.326422274112701,0.70834755897522,-0.0667176991701126,-0.116158112883568,0.366747677326202,0.0725496709346771,-0.0680324658751488,0.161918461322784,06_Jan_2025_11_48
56,1,140,7,108,3,140,1,5,5,0,1,0,21,0,9,0,3,8,2,0,1,6,0,0,1,0,1,4,0,0,0,-0.225622147321701,-0.326422274112701,0.70834755897522,-0.0667176991701126,-0.116158112883568,0.366747677326202,0.0725496709346771,-0.0680324658751488,0.161918461322784,06_Jan_2025_11_48
57,0,144,7,105,0,143,1,4,8,1,0,1,24,0,0,0,1,8,0,0,0,0,1,1,1,0,1,1,0,0,0,-0.225622147321701,-0.326422274112701,0.70834755897522,-0.0667176991701126,-0.116158112883568,0.366747677326202,0.0725496709346771,-0.0680324658751488,0.161918461322784,06_Jan_2025_11_48
58,0,142,5,104,1,142,1,3,2,1,1,2,21,0,1,1,0,7,0,2,1,0,0,2,0,0,0,2,1,0,0,-0.225622147321701,-0.326422274112701,0.70834755897522,-0.0667176991701126,-0.116158112883568,0.366747677326202,0.0725496709346771,-0.0680324658751488,0.161918461322784,06_Jan_2025_11_48
56,1,139,8,104,0,140,0,4,1,1,0,0,22,0,0,0,1,8,1,0,2,2,0,1,1,9,0,2,1,1,0,-0.225622147321701,-0.326422274112701,0.70834755897522,-0.0667176991701126,-0.116158112883568,0.366747677326202,0.0725496709346771,-0.0680324658751488,0.161918461322784,06_Jan_2025_11_48
57,0,139,1,104,0,142,1,4,2,0,1,0,22,0,1,1,4,8,1,0,0,0,1,0,0,2,0,2,0,10,0,-0.225622147321701,-0.326422274112701,0.70834755897522,-0.0667176991701126,-0.116158112883568,0.366747677326202,0.0725496709346771,-0.0680324658751488,0.161918461322784,06_Jan_2025_11_48
57,1,142,4,103,0,141,0,4,3,3,0,0,20,0,0,1,0,7,0,2,0,1,0,0,0,6,1,1,0,1,0,-0.225612744688988,-0.326425492763519,0.708351671695709,-0.0667246729135513,-0.11616238206625,0.366745173931122,0.0725521668791771,-0.0680438876152039,0.161928132176399,06_Jan_2025_11_48
59,1,136,9,99,0,141,0,3,2,1,1,1,22,0,0,5,0,11,1,0,1,0,1,0,0,2,0,2,0,1,2,-0.225612744688988,-0.326425492763519,0.708351671695709,-0.0667246729135513,-0.11616238206625,0.366745173931122,0.0725521668791771,-0.0680438876152039,0.161928132176399,06_Jan_2025_11_48
56,0,142,7,101,5,137,0,3,2,0,3,1,23,0,1,0,0,9,0,1,3,0,0,0,0,1,0,1,0,0,0,-0.225612744688988,-0.326425492763519,0.708351671695709,-0.0667246729135513,-0.11616238206625,0.366745173931122,0.0725521668791771,-0.0680438876152039,0.161928132176399,06_Jan_2025_11_48
56,1,141,7,103,0,141,0,5,1,1,0,4,24,0,0,0,0,10,0,0,1,0,0,0,0,3,0,2,1,0,0,-0.225612744688988,-0.326425492763519,0.708351671695709,-0.0667246729135513,-0.11616238206625,0.366745173931122,0.0725521668791771,-0.0680438876152039,0.161928132176399,06_Jan_2025_11_48
