,MSx,MSy,MSz,MEx,MEy,MEz,MWx,MWy,MWz
52,-0.16903447,-0.3277883,0.57376564,0.024359075,-0.10448559,0.35364056,0.1904492,-0.03218258,0.31581476
53,-0.16906738,-0.3278309,0.5738146,0.023495143,-0.10320045,0.35403654,0.1884475,-0.027988179,0.31578988
54,-0.16911033,-0.32787302,0.5739034,0.022277823,-0.10124855,0.35468793,0.18576066,-0.021665996,0.3159162
55,-0.169122,-0.32788694,0.5739696,0.021432621,-0.09993092,0.35511327,0.18364601,-0.017717822,0.31601655
56,-0.16905944,-0.3280551,0.57410425,0.020095749,-0.09795182,0.35575092,0.1803184,-0.012171707,0.3162105
57,-0.1689823,-0.32823431,0.57420576,0.01918144,-0.09662384,0.35619774,0.17813231,-0.008682615,0.31629005
58,-0.16889173,-0.328475,0.5743677,0.017698245,-0.0946737,0.35679528,0.17459261,-0.0035726414,0.3166469
59,-0.16884696,-0.3285578,0.57449454,0.016641704,-0.09340917,0.35716292,0.17210774,-0.00018402806,0.3170415
60,-0.16879618,-0.32859215,0.5746892,0.0149482805,-0.09157053,0.35767934,0.1683666,0.0045578196,0.31709838
61,-0.16875318,-0.32875076,0.5748014,0.013780789,-0.09035768,0.35804236,0.16585678,0.0079648355,0.31730667
62,-0.1687122,-0.32885584,0.57492226,0.011948464,-0.08854678,0.35855833,0.16219507,0.013793633,0.31834522
63,-0.16872697,-0.32886314,0.57498604,0.010661343,-0.08733598,0.35887823,0.15948965,0.017042482,0.31849912
64,-0.16867805,-0.32887894,0.57512456,0.008602275,-0.08547102,0.35931277,0.15516421,0.02105918,0.31834096
65,-0.16859716,-0.32894954,0.57522583,0.007137617,-0.08422041,0.35955462,0.15234256,0.023484329,0.31797242
66,-0.1685262,-0.32888198,0.57537663,0.0048140455,-0.08233235,0.35987684,0.14831614,0.027580755,0.31836608
67,-0.16845416,-0.3289189,0.57548434,0.0032089818,-0.08109495,0.36004734,0.14561728,0.030505361,0.3188692
68,-0.16834992,-0.32897466,0.57563144,0.0007256921,-0.079258114,0.3602693,0.14148766,0.035098165,0.31910592
69,-0.16828236,-0.32902923,0.57571936,-0.000936525,-0.0780612,0.36041328,0.13837107,0.037796535,0.31894335
70,-0.16821301,-0.32909533,0.5757983,-0.0026040543,-0.076897964,0.3605413,0.13540933,0.04047271,0.31892914
71,-0.16811158,-0.32918778,0.57590246,-0.0051837284,-0.075209044,0.36067316,0.13114476,0.044546746,0.3188952
72,-0.16805278,-0.3292482,0.5759592,-0.0068770032,-0.074104644,0.36076465,0.12826243,0.047069468,0.31884027
73,-0.1679812,-0.3293297,0.576034,-0.009420859,-0.07247421,0.36087486,0.12391594,0.050816275,0.31892154
74,-0.16794509,-0.32938978,0.5760776,-0.011119677,-0.071393855,0.36092934,0.121073544,0.053047456,0.31884718
75,-0.16791032,-0.32943112,0.5761305,-0.013680218,-0.06982135,0.36097357,0.11677881,0.05633194,0.31891578
76,-0.16789354,-0.3294557,0.57616276,-0.015399452,-0.06880317,0.3609766,0.114012375,0.058501504,0.31884927
77,-0.16787812,-0.32945767,0.57621473,-0.017996207,-0.067354344,0.36092746,0.10965883,0.061643295,0.31871554
78,-0.16787471,-0.32944787,0.5762327,-0.018863134,-0.06688896,0.36090294,0.10814737,0.06277106,0.31874138
79,-0.16786912,-0.32943526,0.5762736,-0.020810261,-0.065882236,0.3608524,0.10203394,0.06697052,0.31829
80,-0.16784678,-0.32943782,0.5763193,-0.022922954,-0.064824685,0.36078587,0.09892447,0.06936275,0.31823352
81,-0.16778801,-0.32946807,0.5763893,-0.025958287,-0.06337724,0.36064002,0.094071545,0.07270504,0.31780636
82,-0.16775168,-0.32943338,0.576422,-0.027923387,-0.062474206,0.36051172,0.090804435,0.07484826,0.31748766
83,-0.16765866,-0.32938963,0.57646966,-0.03082011,-0.061119057,0.36029866,0.08567567,0.07822395,0.31695712
84,-0.16759297,-0.32932472,0.5764948,-0.032700673,-0.060309753,0.36011842,0.082004145,0.08051979,0.31663442
85,-0.16746557,-0.329258,0.57653767,-0.035473675,-0.059219737,0.35979354,0.07666581,0.083907746,0.3158779
86,-0.16737582,-0.3291738,0.5765669,-0.037298445,-0.058571883,0.35955176,0.07316806,0.08611142,0.3153507
87,-0.16721267,-0.3289806,0.5766129,-0.03999984,-0.057664387,0.35914746,0.06697451,0.09007328,0.31449747
88,-0.1670399,-0.3288328,0.57665265,-0.0417867,-0.057086803,0.35885587,0.06287482,0.09259402,0.31376922
89,-0.16674629,-0.3286162,0.57669705,-0.044451594,-0.056234904,0.35842386,0.056419004,0.09647285,0.3124865
90,-0.16652724,-0.32849702,0.5767189,-0.046213113,-0.055646323,0.35816818,0.052000567,0.09900474,0.31143534
91,-0.16624016,-0.3283447,0.5767232,-0.04875669,-0.054485783,0.35782552,0.045227613,0.10251021,0.30969337
92,-0.16604108,-0.3282831,0.57673246,-0.05047372,-0.053562254,0.35760665,0.04074598,0.104566984,0.30818862
93,-0.1656966,-0.32813382,0.576763,-0.053035352,-0.052205753,0.35732117,0.035110846,0.10740981,0.30723312
94,-0.16543385,-0.32801148,0.5767963,-0.05471891,-0.051224887,0.3571254,0.031372685,0.1090957,0.3063278
95,-0.16504799,-0.32786116,0.5768284,-0.057227563,-0.049779966,0.35683072,0.02656802,0.11127608,0.305906
96,-0.16475132,-0.32773978,0.57684714,-0.05889407,-0.048921943,0.35663947,0.02355622,0.112536274,0.3056285
97,-0.16432028,-0.32746172,0.5768778,-0.061368335,-0.04776775,0.35636407,0.019275757,0.114299275,0.30539346
98,-0.16402,-0.32727352,0.5769017,-0.06299405,-0.04708174,0.35619724,0.01645794,0.115387045,0.30520484
