S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,S27,S28,S29,S30,S31,S32,MSx,MSy,MSz,MEx,MEy,MEz,MWx,MWy,MWz,session_time_stamp
187,11,147,0,313,0,208,101,0,4,1,3,8,0,0,0,1,2,0,1,7,8,4,40,0,3,4,13,0,5,0,1,-0.13811033964157104,-0.2587449252605438,0.5605747103691101,-0.0030658040195703506,-0.1437118500471115,0.24601039290428162,0.16121035814285278,-0.15743589401245117,0.08612476289272308,13_Jun_2024_12_16
185,12,147,0,315,0,211,99,2,4,1,3,1,0,0,0,3,0,1,1,7,11,0,38,0,2,0,13,11,6,0,2,-0.13811033964157104,-0.2587449252605438,0.5605747103691101,-0.0030658040195703506,-0.1437118500471115,0.24601039290428162,0.16121035814285278,-0.15743589401245117,0.08612476289272308,13_Jun_2024_12_16
188,12,144,0,316,0,210,99,1,5,1,0,2,0,1,0,0,0,0,0,7,6,4,41,0,4,3,12,0,4,0,0,-0.13811033964157104,-0.2587449252605438,0.5605747103691101,-0.0030658040195703506,-0.1437118500471115,0.24601039290428162,0.16121035814285278,-0.15743589401245117,0.08612476289272308,13_Jun_2024_12_16
184,13,144,0,314,0,210,97,10,4,0,3,0,0,5,0,1,0,1,1,11,13,4,38,0,5,0,11,0,4,0,2,-0.13811033964157104,-0.2587449252605438,0.5605747103691101,-0.0030658040195703506,-0.1437118500471115,0.24601039290428162,0.16121035814285278,-0.15743589401245117,0.08612476289272308,13_Jun_2024_12_16
186,14,148,12,312,0,209,96,3,5,0,3,0,1,0,0,1,1,0,1,7,9,0,38,0,2,0,12,2,3,1,1,-0.13811033964157104,-0.2587449252605438,0.5605747103691101,-0.0030658040195703506,-0.1437118500471115,0.24601039290428162,0.16121035814285278,-0.15743589401245117,0.08612476289272308,13_Jun_2024_12_16
187,12,143,4,313,4,209,99,2,4,1,6,0,0,0,0,0,0,4,0,7,7,2,43,11,5,0,11,3,3,3,0,-0.13811033964157104,-0.2587449252605438,0.5605747103691101,-0.0030658040195703506,-0.1437118500471115,0.24601039290428162,0.16121035814285278,-0.15743589401245117,0.08612476289272308,13_Jun_2024_12_16
182,11,146,0,315,3,207,99,2,5,10,3,0,1,0,0,1,0,0,0,7,9,2,37,1,7,0,16,0,4,0,1,-0.13811033964157104,-0.2587449252605438,0.5605747103691101,-0.0030658040195703506,-0.1437118500471115,0.24601039290428162,0.16121035814285278,-0.15743589401245117,0.08612476289272308,13_Jun_2024_12_16
180,11,148,0,315,1,209,98,2,4,0,2,0,0,1,0,2,3,1,0,11,6,3,38,0,7,0,11,1,4,6,0,-0.13811033964157104,-0.2587449252605438,0.5605747103691101,-0.0030658040195703506,-0.1437118500471115,0.24601039290428162,0.16121035814285278,-0.15743589401245117,0.08612476289272308,13_Jun_2024_12_16
178,10,147,0,315,0,208,94,1,5,1,2,1,0,1,0,1,0,1,0,7,11,3,41,1,5,2,11,0,4,0,0,-0.13811033964157104,-0.2587449252605438,0.5605747103691101,-0.0030658040195703506,-0.1437118500471115,0.24601039290428162,0.16121035814285278,-0.15743589401245117,0.08612476289272308,13_Jun_2024_12_16
173,9,142,0,311,0,209,95,1,4,0,3,0,1,0,1,1,1,0,0,7,7,12,40,3,5,0,9,0,4,1,0,-0.13811033964157104,-0.2587449252605438,0.5605747103691101,-0.0030658040195703506,-0.1437118500471115,0.24601039290428162,0.16121035814285278,-0.15743589401245117,0.08612476289272308,13_Jun_2024_12_16
182,10,145,1,315,0,208,95,4,6,0,1,0,3,0,0,2,0,1,0,6,6,12,38,3,6,0,9,0,7,1,0,-0.1381082832813263,-0.25873520970344543,0.5605677366256714,-0.003066188422963023,-0.14370913803577423,0.24600280821323395,0.161247119307518,-0.15741296112537384,0.08615642786026001,13_Jun_2024_12_16
181,11,141,1,316,0,206,93,2,4,0,11,0,0,2,0,1,0,0,2,7,9,16,35,0,4,7,9,0,0,0,4,-0.1381082832813263,-0.25873520970344543,0.5605677366256714,-0.003066188422963023,-0.14370913803577423,0.24600280821323395,0.161247119307518,-0.15741296112537384,0.08615642786026001,13_Jun_2024_12_16
175,11,146,0,317,0,209,94,3,4,7,4,0,0,0,0,0,1,0,0,7,9,11,38,0,4,1,9,0,1,0,1,-0.1381082832813263,-0.25873520970344543,0.5605677366256714,-0.003066188422963023,-0.14370913803577423,0.24600280821323395,0.161247119307518,-0.15741296112537384,0.08615642786026001,13_Jun_2024_12_16
176,10,149,0,314,0,205,92,6,5,0,2,0,1,0,0,0,0,0,1,7,9,8,31,0,4,0,9,2,3,8,0,-0.1381082832813263,-0.25873520970344543,0.5605677366256714,-0.003066188422963023,-0.14370913803577423,0.24600280821323395,0.161247119307518,-0.15741296112537384,0.08615642786026001,13_Jun_2024_12_16
179,10,144,0,317,2,203,89,2,5,0,5,1,4,0,1,0,1,0,3,7,9,6,30,7,4,1,9,0,2,0,2,-0.1381082832813263,-0.25873520970344543,0.5605677366256714,-0.003066188422963023,-0.14370913803577423,0.24600280821323395,0.161247119307518,-0.15741296112537384,0.08615642786026001,13_Jun_2024_12_16
178,12,144,0,318,1,206,91,6,4,0,3,1,0,1,0,0,1,0,1,7,10,10,26,1,5,1,8,0,3,2,1,-0.1381082832813263,-0.25873520970344543,0.5605677366256714,-0.003066188422963023,-0.14370913803577423,0.24600280821323395,0.161247119307518,-0.15741296112537384,0.08615642786026001,13_Jun_2024_12_16
