S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,S27,S28,S29,S30,S31,S32,MSx,MSy,MSz,MEx,MEy,MEz,MWx,MWy,MWz,session_time_stamp
358,6,304,47,411,1,229,179,16,0,4,1,1,0,0,1,6,0,1,0,1,45,6,3,0,1,0,2,0,31,0,0,-0.1748380959033966,-0.30917105078697205,0.5705975294113159,-0.05386513099074364,-0.13550420105457306,0.2548411190509796,-0.07104925811290741,-0.18986032903194427,0.1915200650691986,13_Jun_2024_11_44
359,4,307,43,406,0,227,185,14,0,1,4,0,3,0,1,6,0,0,6,2,43,5,3,0,1,0,2,0,17,0,0,-0.1748380959033966,-0.30917105078697205,0.5705975294113159,-0.05386513099074364,-0.13550420105457306,0.2548411190509796,-0.07104925811290741,-0.18986032903194427,0.1915200650691986,13_Jun_2024_11_44
360,6,300,45,409,0,229,183,13,0,0,2,0,2,0,3,3,0,1,0,2,43,5,2,0,0,1,1,6,22,0,0,-0.1748380959033966,-0.30917105078697205,0.5705975294113159,-0.05386513099074364,-0.13550420105457306,0.2548411190509796,-0.07104925811290741,-0.18986032903194427,0.1915200650691986,13_Jun_2024_11_44
357,3,298,47,410,0,229,186,13,0,0,4,0,4,0,1,9,0,1,0,0,37,5,3,0,2,0,5,13,18,1,11,-0.1748380959033966,-0.30917105078697205,0.5705975294113159,-0.05386513099074364,-0.13550420105457306,0.2548411190509796,-0.07104925811290741,-0.18986032903194427,0.1915200650691986,13_Jun_2024_11_44
359,6,303,43,410,4,227,183,12,0,0,6,0,2,0,0,7,1,0,0,0,37,6,3,0,1,0,5,0,18,0,0,-0.1748380959033966,-0.30917105078697205,0.5705975294113159,-0.05386513099074364,-0.13550420105457306,0.2548411190509796,-0.07104925811290741,-0.18986032903194427,0.1915200650691986,13_Jun_2024_11_44
362,4,303,45,409,4,227,185,16,0,3,10,0,5,0,0,10,1,0,0,2,34,1,6,0,7,1,5,0,16,0,0,-0.1748380959033966,-0.30917105078697205,0.5705975294113159,-0.05386513099074364,-0.13550420105457306,0.2548411190509796,-0.07104925811290741,-0.18986032903194427,0.1915200650691986,13_Jun_2024_11_44
363,5,301,44,407,0,221,179,16,1,1,0,0,0,0,0,7,2,0,0,2,30,6,2,8,1,0,6,0,18,1,5,-0.17483387887477875,-0.30917859077453613,0.5705927014350891,-0.05387439206242561,-0.13548384606838226,0.25483083724975586,-0.07104925811290741,-0.18986032903194427,0.1915200650691986,13_Jun_2024_11_44
363,4,301,46,406,0,219,176,14,0,0,0,2,0,0,1,7,13,1,1,2,30,5,3,0,1,0,2,0,22,1,0,-0.17483387887477875,-0.30917859077453613,0.5705927014350891,-0.05387439206242561,-0.13548384606838226,0.25483083724975586,-0.07104925811290741,-0.18986032903194427,0.1915200650691986,13_Jun_2024_11_44
363,2,298,46,407,0,221,179,15,0,0,10,1,2,6,0,8,0,0,1,2,29,2,8,0,1,0,3,0,21,1,0,-0.17483387887477875,-0.30917859077453613,0.5705927014350891,-0.05387439206242561,-0.13548384606838226,0.25483083724975586,-0.07104925811290741,-0.18986032903194427,0.1915200650691986,13_Jun_2024_11_44
359,3,299,45,405,7,224,179,17,7,0,4,0,0,0,1,6,1,0,1,3,31,6,8,3,2,0,5,0,23,8,0,-0.17483387887477875,-0.30917859077453613,0.5705927014350891,-0.05387439206242561,-0.13548384606838226,0.25483083724975586,-0.07104925811290741,-0.18986032903194427,0.1915200650691986,13_Jun_2024_11_44
